year,per_capita_transfert_mch1,median_salary_ratio_transfert_mch1,per_capita_transfert_mch2,median_salary_ratio_transfert_mch2,fit_per_capita_transfert_mch2,fit_median_salary_ratio_transfert_mch2
1993,2035.9562781233667,0.03465339525672942,,,,
1994,2095.6267798164677,0.03516624345241757,,,,
1995,2393.717442009924,0.03964158455898788,,,,
1996,2463.381539933284,0.0402987426373067,,,,
1997,2631.093738948448,0.042840525904462155,,,,
1998,2744.8658974565665,0.04439806381755575,,,,
1999,2770.2701861252117,0.04467024938927393,,,,
2000,2939.657059830059,0.046794922951767896,,,,
2001,3231.138321716223,0.050207258401955106,,,,
2002,3331.3695553188,0.050854392674464184,,,,
2003,3404.9280325076666,0.051254335749453074,,,,
2004,3556.471245542209,0.05304682366121068,,,,
2005,3818.5395792965787,0.05642050205816458,,,,
2006,3855.4646036264594,0.056297304532831896,,,,
2007,3890.8301265516075,0.05590273170332769,,,,
2008,4375.998394547116,0.06161989403158606,,,,
2009,4883.469371884861,0.0673433362552383,,,,
2010,4877.551008787351,0.06673166706051757,,,,
2011,5091.626055149876,0.06899222296951052,,,,
2012,5413.241007820859,0.0727234269415452,,,,
2013,5520.555126318919,0.07403383658297016,,,,
2014,,,7053.896065247581,0.0944144992136147,6920.532979944488,0.09346609669978401
2015,,,7470.23822847516,0.09923798061102025,7073.465977245534,0.0945297190393588
2016,,,7075.517347038423,0.09275231171724639,7226.398974546522,0.09559334137893405
2017,,,7031.557834032408,0.09239406383412709,7379.33197184751,0.09665696371850885
2018,,,7483.240153343948,0.09862460004934298,7532.2649691484985,0.09772058605808365
2019,,,7331.81390686873,0.09531739348503289,7685.197966449545,0.09878420839765845
2020,,,7977.402201128419,0.10244776032681485,7838.130963750533,0.09984783073723369
2021,,,8246.779342497084,0.1043315032449912,7991.063961051521,0.10091145307680849
2022,,,7904.909666113379,0.09852564645170729,8143.996958352509,0.10197507541638329
2023,,,8248.833509688611,0.10189783463890467,8296.929955653497,0.10303869775595853
2024,,,8712.989376511103,0.10668269880143871,8449.862952954543,0.10410232009553333
